IDETOR,IDEAPO
48963705V,34445243Y
48964633W,71761943B
48966120V,37105152B
48966149T,13428295K
48966214L,90674975M
48967035N,11454938H
48967612Z,59119014K
48968429A,65279595Y
48968753M,06997997V
48971152N,81188778C
48972452R,07465587V
48973618V,58913308G
48974852D,98382899P
48975984Z,79464762S
48976653Q,01913554T
48977750D,49001697J
48979707B,56327280G
48980418D,23358572W
48980774C,25051429J
48981460Q,93700426J
48982133E,61011087E
48982448S,40725693F
48983000S,16446304Q
48984880D,12730129C
48986131H,63366097Q
48986542S,87805706D
48988569H,70987625B
48990782T,09736451E
48991202Y,89252723G
48992229K,85962557B
48994912J,03811474Y
48996053G,13163130T
48997263H,64145348G
48998747F,05806572S
48999185P,90841013Y
49001798E,40476107V
49003046M,34392893G
49004214T,55989576D
49006048V,49425340L
49007151Q,63822407Y
49008877V,92543824N
49009787F,51999805W
49009970Y,67964556Q
49010231Z,22766562N
49012630K,86543497V
49013612Z,59451963E
49015703N,58617698J
49018156G,94777815J
49018510J,08577097Y
49019402P,54904648Z
49019444G,85609399H
49019541D,13980791B
49019860Y,80138090H
49020361R,27807514P
49020441N,23520190E
49020695J,71799227N
49022480G,36329237R
49024117P,69994084R
49025320S,15227312R
49025419E,24410287L
49025740K,43239922Z
49026644M,90517783H
49026805M,82368832J
49029087X,04410614L
49029380G,61301633D
49030003Y,43836753H
49031386D,09193457N
49032061V,54092561B
49033297B,04163923A
49033330K,55572397G
49036315Q,40773646M
49039506X,27651845A
49039538L,95849831E
49039714B,45137247T
49040776S,56751438L
49041604S,64428112Y
49042785T,43530841Y
49043318G,30922683B
49043512Z,74022271Z
49044151D,64024842H
49046163C,54116677T
49046435Q,88724432T
49050310G,21509753S
49051458W,30526662G
49052540A,51140408T
49053499L,31906036E
49054292F,06093676X
49054654R,04819009A
49055155L,41862628Y
49058289W,36585241S
49058314G,95427319C
49058898J,93114938J
49059923A,93598841L
49060118Z,81062615N
49060934W,09084492K
49061175J,80126401J
49061504C,36459092K
49062418Z,89734796C
49062749T,59291860E
49062830N,83520862L
49062850D,27023510M
49062995Q,75700815H
49064043Y,82130926L
49064620P,66964185F
49066816L,33797757Q
49068240V,68681967B
49069185L,89953650Y
49070133R,09952533L
49070410W,46423587L
49070751K,42270835D
49072244L,45660382T
49073455B,74921834R
49076158T,09334755K
49076309J,31688208G
49077464H,04806499M
49078007D,69662971L
49078990A,29920968S
49079797M,39726880S
49080047W,67484536Y
49080125B,91966817Y
49080678N,39381279N
49081345N,03227243K
49082231R,06867918A
49082687C,55162491G
49083678E,75011936N
49085137D,00366998X
49086492F,61627200B
49087540C,26161254L
49089603J,01307322W
49090190W,08920137R
49090371E,10411020R
49090955P,28925835T
49092508C,08852922S
49092606A,78795792T
49093876P,87974459B
49094584A,88425926B
49095453K,15473132C
49096001V,03628529A
49097811X,06950816D
49097861Z,16654800V
49097917R,35577157K
49099520V,25287188E
49099973X,41458124A
49103459T,19573492D
49103877G,62462592C
49104383G,17043565J
49104649V,79408504S
49106949V,20342769M
49107026W,22593784X
49107608D,21665852J
49109249V,21056232P
49110214Q,40095036X
49110865T,49399859E
49110890W,12027275T
49111177J,66576930A
49112258J,50257670W
49112295G,74117318W
49113440E,82250704J
49113961Z,91851295J
49114402H,12393813X
49114583S,56855905C
49115658D,78463545B
49120126S,34999248X
49120918W,34709282M
49122148J,10186813K
49122743X,19566209V
49124122D,80384071Z
49125351L,44868893X
49125395V,76137490S
49125970V,76146224D
49126879Y,62194839X
49128261P,51593089H
49128616H,31171886D
49130126X,23290552Q
49130229K,31843554P
49130791P,47685013X
49132184K,48633064R
49133552D,25199361D
49136543X,82219370M
49136634D,55990441T
49136814M,38338925H
49137615R,61447429P
49137956C,18323277M
49141938T,73946964D
49141994X,08406543C
49143040K,80149376B
49143314L,73316523K
49143420X,81479291C
49143747S,88745528M
49145063C,05078390J
49145649P,79637387W
49147177H,71789640Q
49148751M,97149166H
49148815T,99407993S
49149217B,58410059H
49149288J,20614274H
49150872X,52813038R
49151086V,45386400V
49153323T,64790095S
49154531N,35906292A
49155194P,47705126K
49155844Z,86724164L
49155883F,11072940G
49156129T,68715406P
49156561H,20257690A
49157705N,15330327E
49157749X,00126552Y
49159887D,26891453Z
49163568X,69679176D
49165269D,39556784G
49165968H,80393726D
49167018X,92788150D
49167025V,22072894R
49168244V,00528883K
49168782A,31812192H
49170709K,65663108V
49171385F,35454379V
49171816R,32263359V
49172318C,71655778Z
49173675C,89225518P
49174617L,92151057Q
49175749R,46244144E
49177713X,95862007P
49179294G,90504187S
49180488W,20498591W
49181140X,81816574P
49182049E,36753722K
49182282W,49423833F
49183905S,70774454G
49184241Y,16785276Z
49185990F,81812409Y
49186540M,15504208T
49186733Z,95854976S
49190026H,12424142W
49191700J,60553541S
49192157X,78478314Z
49192330E,24534460S
49194997K,74222869Y
49196193K,67474196Q
49200276X,31243341A
49200686Y,71273767X
49201806E,39361884Y
49202232B,75927186T
49202595Y,14438213D
49203293Z,93798886X
49203977P,23670409M
49204076S,37934316W
49204218L,76103664E
49205663S,20095290Y
49206718N,61508775J
49206970B,22969241S
49208912K,56666737G
49209371C,45923230G
49210217S,42568002Q
49210575M,32475187S
49211061P,16978373A
49212370Y,93615438X
49213008T,26828904W
49216054X,41058584L
49217082A,35692347G
49217321N,63928311H
49218022T,05855487D
49218108V,32758296V
49219088P,22955164Z
49220456L,33269589C
49220835F,66202476N
49224243B,29758289S
49224578R,85105614W
49224794X,35728015E
49225368D,12806828Z
49225473E,93441552G
49225944X,64971586J
49226404X,07209510E
49226737K,88422033M
49228114H,88412884X
49228563F,71990632B
49228787R,03701541J
49228877E,67461486W
49230303E,94832855Z
49230317J,63490350T
49231810B,03018068P
49232112Z,71679973J
49232445W,36165601X
49233645Y,50924490Y
49233829Y,93864205D
49235748Q,20552165D
49235861Z,44617821Y
49236046S,59624996A
49236539W,74200834M
49238059G,03438282N
49238291Y,51214966S
49239184W,36158967T
49239356J,72558228J
49240447T,01051102W
49240973C,12576254S
49241130Q,83734093V
49241979Z,97232890E
49242111P,75287866B
49242219R,91329567V
49242389X,97550379L
49243842Z,62133394K
49245082N,09753303S
49246292A,60168335J
49247481L,73990651L
49247694W,17445801W
49248137P,48612640R
49249621C,87672265Z
49250207P,21866001Q
49250519K,02155946H
49250595M,50750546B
49252169S,35374161T
49253882A,20282194N
49254262S,84282018J
49255289F,08377500A
49255940Z,42827944N
49256154K,30550590N
49257785L,38669331Y
49259144K,07534891E
49259869X,31781716V
49262262B,64697523H
49262337V,60555789D
49264105Z,71719085W
49264603Y,63225474S
49266500V,99294785J
49267949V,63362463Q
49268657N,75107166E
49269864T,55644717N
49271095N,53339783T
49271392X,83855721K
49271997V,07840566G
49274842X,11802673Q
49274901T,66625988W
49275067M,06618821L
49275141X,36601722M
49275906Q,49973026Y
49276510E,60857046N
49278149M,33963457R
49278246X,62119297T
49278376W,25091913V
49278467R,46302320P
49278538A,25849272D
49279750L,60948517N
49279825W,71852750Z
49280435Z,30013080N
49281519V,29225085C
49284373L,62741244G
49284566M,69091514C
49285310J,55984140R
49286026Q,04822118F
49286083G,93483130K
49286276J,21564375N
49286378T,19052013D
49287060S,02941161J
49287323W,31492118N
49289785A,08006122Y
49290888W,38645543T
49292308L,03605990G
49292598X,42463680E
49293110Q,67995545R
49294219K,95676218J
49295172P,40419811W
49295813M,73441142A
49295854T,89303421X
49296310L,44594833H
49296404K,12838305G
49297995W,22461104V
49298653Q,06928537V
49298761D,53660944N
49298886L,83255833L
49299243P,81946582C
49299439C,14735340E
49300704C,61375037C
49302744J,39168285K
49303534K,80332792W
49304165P,73477134T
49304186Y,78035121P
49304924P,21207430G
49305011A,27193939G
49307158B,08021739Y
49307159N,58606915V
49307240R,96401369C
49308562N,16104657B
49309966J,02428654S
49310741Y,27071697F
49310826E,94920844M
49311423K,84157438R
49313657R,32886837B
49315337W,55733187R
49316871H,07403401T
49319527Y,24035823H
49320357P,65552668T
49320386Z,61466824Z
49321091Y,20838040V
49321709A,58104243X
49322299H,11956963E
49322673R,07438302X
49322881W,01579939T
49323507F,09539710T
49327095F,98734173A
49328564G,55474288J
49330511L,42718664M
49330540W,93489553G
49331368W,95881171J
49332572X,88186703B
49333692A,43846929M
49334739S,46539202J
49338485N,73736961L
49338930C,04839542C
49339568Z,92460388C
49339637Z,99647494V
49340250Y,87770206K
49340350Z,03281967M
49341396W,14814268Z
49342379L,14293554C
49343179Z,63201074H
49343231C,40922424L
49343251V,40017863W
49343279E,18104974H
49344300P,75133448S
49344784D,95997931W
49344966F,00987314Q
49345513W,59596985Y
49345565P,33663527Z
49346244C,06027773W
49346395X,56429631M
49349058M,23269426G
49349585A,82088341F
49351986N,93678002Z
49352877Y,80984926V
49353161Z,64257772G
49355424T,05169856P
49355501P,10469660Z
49356314Q,34789607Z
49356555G,49625977G
49356734E,07320217F
49357294F,29067212L
49357508Z,38370572V
49358117W,59014788P
49358220J,59270451A
49358333B,67392607P
49360750J,77931633C
49362485T,60917064T
49362889J,81931719S
49365378H,32119810B
49366704X,43238049G
49367160Y,66708193M
49367747H,71450363N
49368750D,46369116N
49370235E,00352407R
49370332G,97055792R
49370706X,14587847M
49371078Z,99437640S
49371098B,67764398G
49372060F,06688464H
49374912F,48950754S
49376609W,07477651Y
49377366T,36752095G
49380099L,27183442H
49380571P,95843761R
49381000T,62557783Z
49381463A,19217431B
49381581Y,38856123S
49381821Q,63100598Y
49386600B,77341903X
49387559G,86685852W
49388502G,44384622G
49389355Y,43211514B
49389377M,55402047S
49390323P,29362976A
49390845R,67366094Z
49391031A,55991747H
49393454B,85829956M
49394685T,25969860P
49394804G,55349044G
49394849A,44677040T
49395188C,22735870W
49395649K,25017079W
49395937X,18572230Y
49396536B,92618306C
49396935L,91957066F
49397063D,43061584H
49397188L,66044207Y
49397621S,16214028V
49398651X,02717581Q
49399315F,79637045M
49399446T,79205080A
49400241J,07009534P
49400485G,33997623N
49400898A,60610841E
49401664X,70165746Z
49401978W,72133023D
49402790D,51725247H
49403409F,60990282D
49403781B,17982533Y
49406056D,05074241G
49407548Y,49928787L
49408420G,55121811B
49409190S,32641508T
49409204Y,15005309V
49410301E,59720876L
49410346K,85535018L
49412710Q,72232142K
49414390V,98154715F
49415659K,21078552H
49416687Z,28632086F
49416806H,42458752Q
49417447S,86288518Q
49417935C,06118976X
49418674T,49264935Q
49419296R,47822017A
49419567L,64863764S
49420048V,60008232J
49420459Z,27874442Y
49420912F,41853539W
49423788P,82609597Z
49424892P,36828012K
49426271F,35266659T
49426430M,24268049J
49432537V,86187240F
49435567B,06273417Y
49435707J,58567715D
49436957K,95394463P
49437053W,94132180B
49437458Q,21132372H
49437891N,29047493B
49438706E,62644230G
49438934C,74854122R
49439024H,68130895L
49439702Y,02590643S
49441283T,38019352F
49441356G,90245894N
49441613P,69081144T
49441882R,74419693L
49443196G,29720430Z
49444459W,41972827N
49444697X,32651683D
49444945M,79064665A
49445805Z,56764813P
49446370G,98523138Q
49447220A,39579833F
49449072S,87309268A
49449233S,13560443B
49450981S,83732275Q
49451465Q,47251259J
49451722C,09933599Z
49451921N,57581251S
49452085S,53646929G
49452679B,26289112C
49452719M,68170463G
49453029Q,74786937E
49453348J,59128750M
49453431G,40897174T
49453473T,14380107R
49453786Z,87008037A
49456681B,82003615J
49456819B,35394437J
49458423M,85169307P
49460599L,75392864Z
49461279D,71963646G
49462043Z,93900923L
49463009Z,45992915E
49463160G,61726309J
49463209F,22240300J
49463543L,86971188T
49464240A,03635636A
49465192N,93424173J
49465383L,44163473T
49466034A,73797290L
49467197Q,46479982H
49468132P,81746015J
49468375K,10555635S
49469341K,30158991B
49470080R,46067506R
49474440Z,05421979M
49476096Z,24986548S
49478241C,22908851T
49478791H,92987673F
49478819T,50284614J
49481188T,06942342E
49481299L,69053173C
49483106D,71531692J
49488368G,08192657B
49489832L,81927668N
49490875G,91860390T
49491568F,61173459Z
49493115J,42973507P
49495068B,64749582M
49495129A,92261978P
49498653P,21997722Q
49499163N,41349009T
49499767H,62486314Y
49501850P,86597969W
49502538Y,54687494A
49503249G,16126826P
49503265C,44338912H
49503321F,20795291W
49503784X,64122461W
49505076Z,50976861Y
49506832E,81772840C
49508207V,28351480R
49509350X,70508933H
49510420E,49276773D
49511782G,66654316V
49511808F,67078869J
49511885S,45212717F
49512080A,56397775G
49513104S,54947557M
49515108H,24324934L
49515242Z,03159126F
49516578Q,25437203P
49518086Y,78636780X
49519172B,43304175M
49519417A,28068566X
49520670Z,63369484E
49520749R,38209115C
49522974H,86407296E
49523309P,14193726N
49523544J,30309239T
49524853B,49892866R
49525808T,64026189P
49526613T,14001174Q
49526908L,29674036B
49528730R,54925048J
49529363J,04276032X
49531676A,29718299E
49532161M,24006296T
49533032W,45761725M
49533203N,99538130H
49534368G,02751033A
49535481J,45179139D
49535551Z,34545187S
49536522L,94927200J
49537380A,70949485M
49537474M,25799603C
49538776L,09919450X
49538790X,61520174G
49540317L,01102045T
49541830Z,54446237Q
49541993Q,00348847Y
49544074G,05528344H
49544261F,26547213S
49544503L,58565410G
49544919K,70398033R
49546021L,36445572W
49548450X,34846571F
49552022V,14083643F
49554568X,22236034W
49556221F,97961059B
49556880E,91310249L
49558426G,22419258P
49559685K,52714040H
49559769J,60972927L
49560832H,37657770P
49561806A,24470959V
49564503D,77818369P
49564870P,10080294S
49564933W,16580358A
49565180L,92089082A
49565557M,34467267L
49565726J,24053706F
49567086Q,77977030S
49568390D,54541424Y
49569054Y,29012403L
49570800G,61031140L
49572131R,95310206T
49572591R,43228814S
49572768V,25340261B
49573505H,56954641V
49574305J,07653150S
49574819K,33011028W
49574874F,77166880V
49575239G,64277528A
49577179N,64666168N
49577731N,56072121F
49577771Y,34891447X
49578392Y,71450929A
49581513E,82618564B
49582266Q,00148096E
49582702S,37073088D
49582986T,82578588D
49584254A,79053042H
49586887Z,09024531K
49588102X,33205925C
49589023B,62626324S
49589169L,65768909H
49590345E,58065476K
49590625A,13380834D
49591603S,53885092W
49592068C,05823793D
49593109A,07565209A
49593475R,12175385J
49597296G,58373873B
49599410W,99199743F
49599477T,83619703Y
49599514Z,81380395R
49599545E,72370040B
49599595A,47029282D
49600637X,94105390Q
49601353J,91312487A
49601429C,58538863E
49602190E,91526612K
49603086K,21957486F
49603881B,80216235D
49603936C,20168314M
49604753D,16379563K
49606069Z,13334701Z
49607556Y,32808323L
49607661L,06521928W
49608257V,54909163K
49610016M,28535581X
49610495R,36825819J
49611369R,67681156E
49613522S,87273040T
49613623R,49819997L
49614827D,28861853G
49615476Z,32268680W
49617881G,96915525B
49617956X,49167209V
49618103L,00507098V
49619521B,22667242Y
49620566K,89413290P
49623482Q,98549496Q
49624808P,02209998C
49625194A,86337089B
49625715H,92890311G
49627897S,94142980R
49628151Q,74181123M
49628949D,93492459N
49629107Y,61919122V
49629407F,36838586S
49629945Q,33841744G
49630447N,47903815J
49630847K,50568517G
49632420F,32609455D
49632829W,63095303R
49633114B,18234670V
49633665X,87593565C
49635145H,27551986X
49635467H,90999229M
49637374Q,55791491T
49638724D,96584392D
49640038N,04688810F
49640422M,22751889J
49641241L,00656234K
49642924T,42183001N
49645135A,16404588E
49645275M,40705580L
49647128H,11446911H
49647579D,52145195D
49648739L,17315697D
49649555F,01093273Z
49650478X,11627273Z
49650482Z,06982920M
49650985B,26729373S
49651450Q,62429715X
49651548E,57856198C
49651638C,83028877G
49652177F,55850384J
49653496S,59009479N
49656519W,66009911A
49657230T,34598290B
49657706Q,36643294Q
49661106N,50837756M
49662135Y,08383698Z
49663266X,66955300T
49663279T,83980318G
49665980X,34293287B
49669376W,54560967E
49672581X,75362723A
49673037Y,83053221Z
49673282K,51145712Z
49674368A,15857209C
49675738Q,89652113E
49679831S,67821370M
49680645R,68433347K
49681941D,48676346C
49682023E,13112713E
49683900J,29349320D
49684201S,97149951K
49685285H,46384977A
49685629V,18976241E
49686928M,95371956H
49687736P,61146438H
